pcsa,zip,state_cd,zcta,fips_code,lat,lng,zip_type,ruca_code,census_region,census_division,distance_to_fqhc
46081966100,57779,SD,57779,081,44.5473,-103.7232,Zip Code Area,10,MW,WNC,63.67743395282014
46079960200,57050,SD,57050,079,44.1525,-96.9942,Zip Code Area,8,MW,WNC,46.91592938219979
46081966100,57793,SD,57793,081,44.4589,-103.637,Zip Code Area,10,MW,WNC,51.48905659301236
46099010600,57018,SD,57018,099,43.7951,-96.9572,Zip Code Area,2,MW,WNC,30.717155098006323
46099010600,57020,SD,57020,099,43.6669,-96.8221,Zip Code Area,2,MW,WNC,12.426790121782272
46099010600,57030,SD,57030,099,43.7162,-96.5196,Zip Code Area,2,MW,WNC,21.16983170763364
46099010600,57032,SD,57032,083,43.446,-96.6864,Zip Code Area,2,MW,WNC,20.206386320236415
46099010600,57033,SD,57033,099,43.6155,-96.9501,Zip Code Area,2,MW,WNC,20.449553245379924
46099010600,57035,SD,57035,099,43.612,-97.0697,Zip Code Area,2,MW,WNC,30.1141741124233
46099010600,57041,SD,57041,099,43.7285,-96.8709,Post Office or large volume customer,2,MW,WNC,18.940627377186928
46099010600,57003,SD,57003,099,43.7309,-96.7563,Zip Code Area,2,MW,WNC,16.192013627026835
46119979100,57537,SD,57537,117,44.3703,-101.0215,Zip Code Area,4,MW,WNC,60.30734773168977
46119979100,57536,SD,57536,065,44.5215,-99.7382,Zip Code Area,5,MW,WNC,45.21190812194581
46119979100,57532,SD,57532,117,44.3426,-100.4043,Zip Code Area,4,MW,WNC,28.997989126581054
46033965200,57730,SD,57730,033,43.6573,-103.4258,Zip Code Area,2,MW,WNC,58.69836811941293
46033965200,57738,SD,57738,033,43.6623,-103.2133,Zip Code Area,2,MW,WNC,57.23427426146002
46033965200,57744,SD,57744,033,43.8188,-103.206,Zip Code Area,2,MW,WNC,42.38326404719302
46033965200,57773,SD,57773,033,43.6086,-103.5938,Zip Code Area,2,MW,WNC,68.02672647490397
46035962800,57301,SD,57301,035,43.7094,-98.0298,Zip Code Area,4,MW,WNC,51.32908340829951
