val,label,level,level_order,adult
2160,CANB,3,5,1
2161,CANB,3,5,1
2162,CANB,3,5,1
2163,CANB,3,5,1
2164,CANB,3,5,1
2165,CANB,3,5,1
2166,CANB,3,5,1
2167,CANB,3,5,1
2168,CANB,3,5,1
2169,CANB,3,5,1
217,CANB,3,5,1
218,CANB,3,5,1
2180,CANB,3,5,1
2181,CANB,3,5,1
2182,CANB,3,5,1
2189,CANB,3,5,1
219,CANB,3,5,1
2190,CANB,3,5,1
2191,CANB,3,5,1
2198,CANB,3,5,1
2199,CANB,3,5,1
220,CANB,3,5,1
221,CANB,3,5,1
2210,CANB,3,5,1
2211,CANB,3,5,1
2212,CANB,3,5,1
2218,CANB,3,5,1
2219,CANB,3,5,1
222,CANB,3,5,1
2220,CANB,3,5,1
2221,CANB,3,5,1
2222,CANB,3,5,1
2223,CANB,3,5,1
2224,CANB,3,5,1
2228,CANB,3,5,1
2229,CANB,3,5,1
223,CANB,3,5,1
2230,CANB,3,5,1
2231,CANB,3,5,1
2232,CANB,3,5,1
2233,CANB,3,5,1
2238,CANB,3,5,1
22381,CANB,3,5,1
22389,CANB,3,5,1
2239,CANB,3,5,1
224,CANB,3,5,1
2240,CANB,3,5,1
2241,CANB,3,5,1
2242,CANB,3,5,1
2243,CANB,3,5,1
2244,CANB,3,5,1
2245,CANB,3,5,1
2246,CANB,3,5,1
2247,CANB,3,5,1
2248,CANB,3,5,1
2249,CANB,3,5,1
225,CANB,3,5,1
2250,CANB,3,5,1
2251,CANB,3,5,1
2252,CANB,3,5,1
2253,CANB,3,5,1
2254,CANB,3,5,1
2258,CANB,3,5,1
2259,CANB,3,5,1
226,CANB,3,5,1
227,CANB,3,5,1
2270,CANB,3,5,1
2271,CANB,3,5,1
2273,CANB,3,5,1
2274,CANB,3,5,1
2275,CANB,3,5,1
2276,CANB,3,5,1
2278,CANB,3,5,1
2279,CANB,3,5,1
228,CANB,3,5,1
2280,CANB,3,5,1
22800,CANB,3,5,1
22801,CANB,3,5,1
22802,CANB,3,5,1
22803,CANB,3,5,1
22804,CANB,3,5,1
22809,CANB,3,5,1
2281,CANB,3,5,1
229,CANB,3,5,1
2290,CANB,3,5,1
2298,CANB,3,5,1
2299,CANB,3,5,1
230,CANNWD,3,6,1
2300,CANNWD,3,6,1
2301,CANNWD,3,6,1
2302,CANNWD,3,6,1
2303,CANNWD,3,6,1
2304,CANNWD,3,6,1
2305,CANNWD,3,6,1
2306,CANNWD,3,6,1
2307,CANNWD,3,6,1
2308,CANNWD,3,6,1
2309,CANNWD,3,6,1
231,CANNWD,3,6,1
2310,CANNWD,3,6,1
2311,CANNWD,3,6,1
2312,CANNWD,3,6,1
2318,CANNWD,3,6,1
2319,CANNWD,3,6,1
232,CANNWD,3,6,1
2320,CANNWD,3,6,1
2321,CANNWD,3,6,1
2322,CANNWD,3,6,1
2323,CANNWD,3,6,1
2324,CANNWD,3,6,1
2325,CANNWD,3,6,1
2326,CANNWD,3,6,1
2327,CANNWD,3,6,1
2328,CANNWD,3,6,1
2329,CANNWD,3,6,1
233,CANNWD,3,6,1
2330,CANNWD,3,6,1
2331,CANNWD,3,6,1
2332,CANNWD,3,6,1
2333,CANNWD,3,6,1
23330,CANNWD,3,6,1
23331,CANNWD,3,6,1
23332,CANNWD,3,6,1
23339,CANNWD,3,6,1
2334,CANNWD,3,6,1
2335,CANNWD,3,6,1
2336,CANNWD,3,6,1
2337,CANNWD,3,6,1
2339,CANNWD,3,6,1
234,CANNWD,3,6,1
2340,CANNWD,3,6,1
2348,CANNWD,3,6,1
2349,CANNWD,3,6,1
235,CANNWD,3,6,1
2350,CANNWD,3,6,1
2351,CANNWD,3,6,1
2352,CANNWD,3,6,1
2353,CANNWD,3,6,1
2354,CANNWD,3,6,1
2355,CANNWD,3,6,1
2356,CANNWD,3,6,1
2357,CANNWD,3,6,1
2358,CANNWD,3,6,1
2359,CANNWD,3,6,1
236,CANNWD,3,6,1
2360,CANNWD,3,6,1
2361,CANNWD,3,6,1
2362,CANNWD,3,6,1
2363,CANNWD,3,6,1
2364,CANNWD,3,6,1
2365,CANNWD,3,6,1
2366,CANNWD,3,6,1
2367,CANNWD,3,6,1
2369,CANNWD,3,6,1
23690,CANNWD,3,6,1
23691,CANNWD,3,6,1
23699,CANNWD,3,6,1
237,CANNWD,3,6,1
2370,CANNWD,3,6,1
2371,CANNWD,3,6,1
2372,CANNWD,3,6,1
2373,CANNWD,3,6,1
2374,CANNWD,3,6,1
2375,CANNWD,3,6,1
2376,CANNWD,3,6,1
2377,CANNWD,3,6,1
23770,CANNWD,3,6,1
23771,CANNWD,3,6,1
23772,CANNWD,3,6,1
23773,CANNWD,3,6,1
23779,CANNWD,3,6,1
2379,CANNWD,3,6,1
238,CANNWD,3,6,1
2380,CANNWD,3,6,1
2381,CANNWD,3,6,1
2382,CANNWD,3,6,1
2383,CANNWD,3,6,1
2384,CANNWD,3,6,1
2385,CANNWD,3,6,1
2386,CANNWD,3,6,1
2387,CANNWD,3,6,1
23871,CANNWD,3,6,1
23872,CANNWD,3,6,1
23873,CANNWD,3,6,1
23874,CANNWD,3,6,1
23875,CANNWD,3,6,1
23876,CANNWD,3,6,1
23877,CANH,3,2,1
23879,CANNWD,3,6,1
2388,CANNWD,3,6,1
2389,CANNWD,3,6,1
239,CANNWD,3,6,1
2390,CANNWD,3,6,1
2391,CANNWD,3,6,1
2392,CANNWD,3,6,1
2393,CANNWD,3,6,1
2394,CANNWD,3,6,1
2395,CANNWD,3,6,1
2396,CANNWD,3,6,1
2397,CANNWD,3,6,1
2398,CANNWD,3,6,1
23981,CANNWD,3,6,1
23989,CANNWD,3,6,1
2399,CANNWD,3,6,1
240,METSL,14,4,1
2400,METSL,14,4,1
2409,METSL,14,4,1
241,METSL,14,4,1
2410,METSL,14,4,1
2411,METSL,14,4,1
2419,METSL,14,4,1
242,METSL,14,4,1
2420,METSL,14,4,1
24200,METSL,14,4,1
24201,METSL,14,4,1
2421,METSL,14,4,1
